id_branch,number_branch,bank_id,location_id,comunication_id
1,684-669-9423,1,51,69
2,515-666-4724,1,52,68
3,734-153-7783,1,53,67
4,758-239-5413,1,54,66
5,741-157-7575,1,55,65
6,610-388-2150,1,56,64
7,381-532-7618,1,57,63
8,275-126-1273,1,58,62
9,854-526-1690,1,59,61
10,702-909-6706,1,60,60
11,396-347-6065,1,61,59
12,688-957-5221,1,62,58
13,910-745-9893,1,63,57
14,208-424-5520,1,64,56
15,362-937-6826,1,65,55
16,741-333-2037,1,66,54
17,370-546-4346,1,67,53
18,569-866-9129,1,68,52
19,792-779-9749,1,69,51
